LotArea,YearBuilt,1stFlrSF,2ndFlrSF,FullBath,BedroomAbvGr,TotRmsAbvGrd,SalePrice
4545,1953,652,648,2,4,8,407151
14653,1976,1353,1187,3,5,8,1042504
8346,1993,1679,348,3,3,7,685350
17046,1989,774,462,1,3,6,1003064
13996,1996,1881,884,3,5,7,1053529
15404,1993,925,1174,3,2,6,1019894
17585,1997,982,245,3,4,8,1075055
19775,2001,713,1133,1,4,8,1198479
17919,2017,578,797,3,4,6,1096694
7810,1960,638,1298,1,2,6,602799
18202,2022,1449,869,3,3,6,1190463
11206,1953,597,1090,1,2,6,737065
13005,2022,1163,1073,1,4,7,931051
16316,1997,697,815,3,5,9,1050256
17245,1975,1284,514,2,4,7,1094564
6032,1988,655,225,3,3,5,456135
16764,2007,1573,577,2,2,6,1102016
16605,1968,978,505,1,2,4,990052
12436,2007,727,154,2,4,6,732462
17035,1977,1980,110,2,3,7,1093259
16984,2015,1021,482,1,3,7,1041567
4271,1959,648,807,2,5,8,394194
7511,2007,1581,273,3,4,8,659107
5771,2022,661,154,2,5,9,442177
13454,1963,1362,1190,1,2,5,949969
14616,1964,1630,1042,2,2,5,1043141
8361,1982,1950,344,1,3,7,722499
11069,1966,894,734,1,5,9,750419
4920,1973,1300,568,3,3,7,465415
12190,1979,685,293,1,4,6,752436
7430,2011,1057,644,2,3,5,571914
8435,1962,945,1485,3,2,6,689282
16676,2011,1329,337,3,2,5,1087180
14816,1996,1971,451,2,3,7,1057716
7760,1965,586,343,2,4,8,538404
6050,2015,1772,716,3,5,7,633597
15692,1992,1963,630,1,2,6,1052079
5165,1957,1780,764,3,2,6,538577
12567,1952,1800,84,3,4,6,893810
6033,1961,937,736,3,3,5,507111
10467,1965,1015,659,1,2,5,699251
4145,2008,1446,1412,2,2,5,536651
18269,1998,1725,226,2,4,7,1174490
8388,2012,1255,1309,2,3,7,725249
11832,2011,1296,1307,1,4,7,896640
12623,1998,1703,108,1,4,6,813088
12896,2000,1185,134,2,3,6,825283
19284,1982,824,937,2,2,6,1199848
12173,1979,1122,290,2,5,9,802178
18286,2008,1186,821,2,5,8,1218798
6632,1964,1998,1052,1,5,9,661353
8494,1972,899,393,2,4,8,590709
19152,1994,1367,26,3,2,6,1136689
12056,2011,716,1490,2,2,5,857730
11511,2020,1308,12,1,2,6,759288
13155,1964,1460,553,3,2,5,897751
19499,1995,1976,932,3,4,7,1368136
14426,2013,1500,444,3,5,9,994543
14233,1995,1927,223,1,5,8,957710
5828,2005,1431,1486,2,3,6,614747
14300,1993,739,20,1,2,6,857133
16260,1978,1709,1410,1,5,9,1172714
13130,2011,547,1349,3,5,8,945504
19739,2001,1909,466,3,2,4,1281140
8805,2003,1731,1248,1,2,4,774367
4806,2006,1680,652,3,5,7,572095
13655,2015,1748,1498,1,3,5,1059305
11486,1971,1667,617,3,2,5,856235
17613,1969,1942,779,2,5,9,1195344
15607,1982,1634,457,2,3,5,1051478
12202,2021,1374,639,2,4,8,871214
17373,1974,1988,1236,3,3,5,1232148
5868,1995,631,662,3,2,4,519249
18561,2022,1124,960,2,4,6,1192057
19512,2006,1100,179,1,3,7,1129492
11878,1954,1172,537,1,5,9,823748
18899,2004,833,526,2,2,4,1140624
17059,2010,1598,21,3,4,8,1069592
9690,1957,1935,1368,1,5,7,850322
17895,1965,535,576,1,4,7,1053728
11827,1997,1277,762,1,3,7,838576
19934,2010,722,921,3,5,7,1249719
9429,1964,1029,1044,1,2,5,702818
13076,2014,740,744,1,5,8,872761
19602,1971,633,1431,2,3,5,1221621
7564,1952,890,1439,3,4,7,648781
5389,2003,601,1295,2,5,8,541010
15593,1963,1180,1228,1,4,6,1060171
11274,1985,997,1321,3,2,5,859739
16513,2016,1010,671,3,5,8,1093036
4824,1959,1202,1131,2,4,6,505748
6265,1998,1493,636,2,2,4,581197
4936,2014,1448,1023,3,3,6,604499
14992,2006,1866,151,3,5,9,1019897
14745,1976,1340,12,2,5,7,901122
10402,1954,505,714,1,5,9,694640
18199,2020,1457,1102,3,4,6,1203554
7845,2006,693,905,1,4,8,576897
19876,1964,1241,1192,2,2,4,1271424
5796,1979,1660,248,3,5,8,543724
12245,1969,1411,1144,2,2,5,907214
11214,1986,972,386,3,5,9,806437
4726,1952,715,438,3,3,7,398892
6736,2022,1872,1295,2,5,7,708552
17832,1990,1375,299,2,2,4,1088177
15362,1988,1706,720,1,4,8,1042977
17331,1975,1691,472,2,3,7,1101075
5913,1951,537,1181,2,3,6,513951
18064,1972,970,1006,1,5,9,1148434
13788,1972,951,632,2,3,6,898635
14106,1965,1665,1250,1,2,6,1037313
11657,1958,1512,420,1,2,5,810835
6466,1962,602,955,2,5,8,499970
14929,1977,541,972,1,4,7,930225
13041,1976,1446,23,1,3,5,826949
14301,2000,1670,537,1,3,6,1003295
11312,2013,565,776,2,5,9,792902
18551,2001,1442,637,2,3,7,1177229
12194,1987,692,539,1,4,8,754074
16447,2014,1821,902,2,5,7,1162020
11906,1967,1561,1151,3,2,5,905225
16261,2012,1001,1117,1,3,5,1066778
8876,2000,1951,420,3,5,8,775212
11287,1958,1163,1295,2,2,6,847927
4892,1962,851,483,3,2,5,412002
14222,1989,825,1028,2,2,4,924923
15352,2004,1561,156,2,5,7,971779
14568,1992,1620,51,1,5,7,954348
8675,1993,607,242,3,2,4,577193
5933,2017,1130,773,1,2,6,538320
5380,1982,650,419,3,5,7,440164
15873,1973,1597,424,2,5,7,1026525
5290,1985,1580,79,2,4,6,482013
5640,1959,1377,694,1,2,6,534589
17239,1969,834,353,3,3,6,1032514
11490,1961,1775,292,3,3,7,862353
14874,2011,1303,716,2,5,9,1013944
13179,1967,1266,1139,1,3,7,968903
19900,2012,1777,528,2,5,8,1330079
5218,1974,1908,479,2,4,6,528848
9016,1961,1979,1311,1,5,9,805165
10881,1970,758,476,3,2,4,704308
13547,1974,1281,24,3,5,7,835891
16457,1960,1988,430,2,3,6,1111929
16808,2013,533,1301,3,3,6,1096432
17774,2022,825,316,1,3,7,1053242
16327,1999,1336,637,3,2,5,1043879
13752,2011,1761,357,3,5,8,1004469
19620,1998,1190,1299,2,5,8,1251691
13610,1963,1238,689,3,3,5,895640
4954,1950,1989,343,1,2,5,518623
19585,1974,1243,1454,2,3,7,1297468
13175,2008,1827,558,1,3,6,927367
11291,2021,1346,711,3,2,6,832649
4974,2018,616,562,3,3,7,434483
8133,1954,1730,438,2,4,7,688202
18663,1968,1149,1485,1,2,4,1197624
9370,1972,902,1293,3,3,7,745437
7972,1958,1496,1454,3,5,9,772575
9295,1999,732,1044,2,4,8,677088
17913,1965,1428,142,3,5,8,1111118
13105,1982,1807,867,3,5,9,986070
16741,1951,979,352,3,4,7,988178
12228,1963,1475,1488,1,2,6,937443
15579,1950,508,1016,1,3,5,963387
13903,2007,1214,467,1,5,9,945275
7020,1965,878,1487,3,5,8,646573
12987,1996,880,876,2,5,8,892505
8036,1993,1343,1417,2,2,6,750144
9068,1963,859,918,2,5,8,667164
16880,1973,675,1081,1,5,7,1037882
9233,2004,984,1149,1,5,8,728591
15303,1964,1928,840,1,4,8,1072205
13516,2021,532,877,1,4,6,866183
18559,1983,1988,1484,3,5,8,1331590
4317,1951,1195,51,2,2,6,353953
6396,1976,656,1011,2,2,5,542985
6162,2021,1064,813,1,3,7,541691
6745,1972,701,268,2,4,7,525659
17634,2017,1698,95,2,2,5,1090300
5591,1963,1767,272,1,5,7,562477
15303,2012,1792,1346,1,4,6,1133400
18177,2014,1422,132,1,2,5,1103820
10183,2017,1969,927,1,3,7,821836
7930,2012,573,88,3,5,9,522948
14188,2013,595,684,2,4,7,921372
18060,1981,672,823,3,3,6,1053489
5312,1962,1929,4,2,3,5,461595
13477,2015,654,356,3,4,7,812112
8311,1968,1706,1366,1,2,5,771570
11314,1973,1846,203,3,5,9,846114
6383,1960,788,470,1,3,5,452689
7239,2008,757,463,1,3,5,516917
6139,1964,673,496,3,4,7,480646
18688,1959,829,701,2,4,6,1150493
18906,1990,1754,836,3,4,8,1246038
19930,1976,1258,62,1,3,6,1163964
19151,2009,1519,238,1,2,5,1164064
5704,2022,660,539,2,2,6,454640
10924,2001,685,197,2,5,7,676770
4362,1977,642,780,2,4,6,412596
6604,2014,1805,29,1,5,9,552151
19704,1966,1406,665,3,3,7,1244009
13908,1993,1139,1232,2,3,7,1011649
17481,1959,526,1086,1,3,7,1083824
16643,2012,1769,1080,3,5,7,1218446
8286,1996,701,1456,2,4,6,690128
7738,1987,1544,1331,3,5,9,763156
6469,2019,1169,1489,3,5,9,628905
8795,2002,1617,1130,1,3,6,721158
10150,1993,1531,599,1,3,6,738299
18468,2003,971,1017,1,2,4,1139379
4556,1969,1862,1324,3,4,7,623058
13017,1980,758,619,2,4,7,807375
6808,1956,554,1069,2,4,7,517365
9150,2007,1410,76,2,5,7,665762
18870,1959,1529,728,1,3,6,1199639
16713,1959,1900,1192,2,3,7,1200050
11561,1988,1053,813,2,2,4,800702
6719,1977,1573,1152,1,5,8,647895
10506,1979,611,707,2,4,6,723543
15700,1986,645,267,2,5,8,914002
7741,2016,729,764,2,3,5,593603
13766,1992,996,584,3,2,6,910299
7998,2001,1829,418,3,5,8,687492
14321,2005,960,869,1,3,6,957663
6403,2017,1306,1184,1,5,7,607114
15521,1958,725,1081,3,3,7,1035297
12780,1972,558,383,1,5,8,768405
14204,2012,1599,802,1,4,8,990119
13739,2010,927,509,2,5,8,864333
4294,1989,1227,429,1,5,9,404598
14177,1993,1655,1363,1,4,7,1037317
9343,1973,1431,577,2,5,7,697290
17836,2000,997,939,2,3,5,1111749
15309,2007,1315,1049,3,3,7,1064827
13882,1982,1409,588,1,3,6,940422
5136,1965,1828,797,2,3,6,564391
17544,1971,566,371,1,3,7,938261
6064,2006,729,927,1,4,7,494770
16647,2011,1482,1059,3,4,6,1177491
19582,2020,832,1290,3,5,8,1240426
11009,2021,776,1455,3,3,5,837428
16987,2019,1220,1042,3,5,9,1129326
8543,1979,643,1362,3,3,6,707458
19191,1972,1774,139,2,5,9,1186558
18700,1981,1190,66,3,4,6,1133655
16962,2006,1603,1014,2,3,7,1147111
5007,1958,556,1392,3,4,8,449032
9445,1980,1889,260,2,5,8,750569
14706,2020,807,973,1,4,8,925916
18749,1958,673,626,3,4,8,1101484
15718,1962,1985,578,2,4,7,1123117
16873,2007,1249,1021,3,2,6,1190344
9352,1952,1503,1226,2,5,7,786502
13439,1984,1177,638,2,5,8,890821
17281,1970,1059,409,3,3,5,1062368
16094,2013,1897,832,2,3,6,1105219
5435,2001,848,1103,1,3,7,498705
4571,1983,1590,112,3,4,6,490697
6382,1984,829,622,1,5,7,513589
13437,1964,693,820,2,4,6,838901
14276,1955,1678,1160,2,5,9,1052228
9084,1981,1683,839,3,4,6,731467
4277,2001,765,188,1,3,5,311912
17507,1977,667,276,1,4,8,1023065
11059,2013,644,102,3,2,6,671175
5887,1968,685,106,1,3,7,435319
16771,1964,1385,756,3,2,4,1075762
5265,1955,1364,172,3,2,4,482900
11491,2022,1273,998,2,3,5,891081
17018,1987,1946,1354,2,2,5,1225112
18527,1975,1506,721,1,2,4,1170498
5040,2000,1285,1214,3,5,7,559890
18859,2022,956,830,3,4,7,1182392
13109,2002,844,224,3,2,5,785811
18736,2005,1234,1346,3,4,6,1274114
12073,2008,1053,133,2,2,5,781762
13077,2019,1520,1060,1,3,5,952961
6752,2007,1287,92,2,3,7,528199
12213,1962,1435,74,3,5,9,811071
8569,1992,1204,755,1,3,7,637621
15383,2000,1627,182,1,5,9,973969
10353,1968,746,716,3,3,6,702882
6353,1970,1311,458,3,4,6,542698
11437,1973,1546,626,2,2,5,849059
8799,1975,1452,408,2,2,6,676819
4686,1994,1314,206,3,5,9,485306
12476,1977,643,1268,3,3,5,881803
8811,1978,1229,1356,2,4,7,715750
15939,1966,1362,672,1,4,8,1005458
12954,2017,1716,1317,1,3,6,974896
9346,1993,964,1012,1,2,4,690746
9043,2010,874,747,2,3,5,651725
6428,2017,1176,272,3,2,5,540140
14699,1974,1191,378,1,3,5,947620
9126,2016,1128,625,3,2,5,667234
12220,1951,1789,663,2,5,8,868641
13098,1998,1901,1049,2,4,7,1037187
15296,2019,1055,679,3,3,7,1008528
11813,1975,1362,543,3,2,6,817943
19214,2021,573,732,3,2,5,1184131
18414,1976,937,90,3,2,4,1096103
16191,1967,1380,475,1,5,7,1023317
15186,2003,725,725,3,2,6,977608
14698,1950,807,1211,1,4,7,989746
16857,2010,1465,1218,2,5,9,1190921
18294,1952,847,533,1,2,5,1098662
15801,2017,975,697,3,4,6,1008359
15745,1990,1838,879,1,2,4,1091472
13645,1986,1024,84,2,4,8,876759
17025,2000,1948,591,3,4,6,1162353
7356,1964,1023,840,2,2,5,575397
12707,1957,1061,76,2,4,6,793370
18288,1987,1772,329,3,3,5,1148939
11266,2005,1068,382,1,2,6,751327
10540,1996,1705,1456,2,3,6,858581
19848,1959,605,376,3,4,8,1168535
4038,1998,690,340,2,5,9,331876
7342,1990,1660,1200,1,5,7,717084
13078,1979,1199,1449,2,4,7,952805
6844,1954,1643,423,2,3,6,563845
14396,2020,1330,173,2,2,6,921624
5098,1980,571,405,2,5,9,412486
11027,2001,1254,81,1,3,5,726990
5823,1972,1654,20,3,5,8,526948
15393,1997,956,690,2,5,8,1007170
17998,1989,1404,1009,1,4,6,1142678
17261,1955,978,397,2,2,6,1034754
7155,1987,551,329,2,3,6,464571
7093,1990,1503,224,2,3,5,548979
15722,1976,1073,1425,1,2,6,1041693
9658,2018,1642,780,2,3,5,741049
7778,2006,1787,893,2,5,8,718479
6896,1966,1762,437,3,2,6,574156
15645,2020,1874,1295,1,5,7,1163251
19083,1996,1392,1303,3,5,7,1322825
15703,1962,754,222,3,5,7,972646
19963,1960,1184,508,3,2,5,1188529
4988,1973,1832,1365,3,3,6,597256
8116,2022,556,616,2,5,8,605225
10446,1953,1449,1065,3,2,4,815733
17156,1995,1926,1199,1,2,5,1202318
16218,1967,1590,1268,2,4,6,1115642
8179,1992,1569,1276,3,4,6,758458
5682,1982,1105,1297,3,4,6,601201
18264,1959,868,958,1,3,7,1108048
19812,2022,731,1357,1,3,5,1255275
17698,2008,1925,603,3,3,6,1203293
9626,1980,1407,1034,3,3,5,766344
11424,1977,1546,151,3,5,8,802978
16857,2009,1073,188,3,2,6,1005718
16155,1952,1790,959,3,2,6,1140367
4933,2004,1340,675,1,4,6,473756
7598,1963,617,637,1,2,5,517241
15425,2007,1578,210,2,3,7,1020201
5980,1964,1676,1120,2,2,6,602332
19522,1951,1762,338,1,5,9,1202682
14047,1973,1788,46,2,5,8,941323
7056,2013,767,819,3,4,6,616205
12984,2020,612,974,2,3,5,887081
4791,1973,665,1080,3,2,6,473153
19883,1976,1167,1098,3,4,6,1298333
14001,1986,1531,1277,2,2,6,1031977
9390,1988,1213,836,2,4,7,730374
10635,2012,1740,951,3,4,6,887730
6255,1975,930,597,1,5,8,514891
7610,2014,1815,169,2,5,7,642034
5607,1953,1392,1169,2,5,8,586076
9179,1978,1573,838,1,4,7,745091
10573,1950,606,1056,2,5,7,745976
4984,1999,1532,795,3,5,9,558899
9776,1960,1244,1280,1,3,7,749461
7676,2008,1199,1149,1,2,5,651863
7380,2011,1979,958,3,2,5,695663
12711,1985,822,1136,3,3,7,892103
12782,2005,808,814,3,3,5,869683
5050,1970,1349,341,1,5,7,488862
17997,1962,1121,47,3,5,8,1081256
7633,1958,1494,363,2,2,4,592344
18323,1960,644,1421,2,3,6,1152222
10342,2019,1239,1218,3,3,5,841414
18722,1950,1320,724,2,5,8,1171878
16636,2019,911,1344,2,2,4,1111065
4959,2005,613,137,1,4,7,388523
10059,1980,1074,354,3,3,7,740246
12884,1986,898,1093,2,2,6,907211
9655,1996,1798,810,3,2,6,786841
16091,1996,623,711,3,2,6,976823
8473,2018,585,58,2,3,6,555953
6946,2007,546,770,2,4,6,531723
19251,1985,1443,388,1,5,8,1161572
11725,1981,1724,1374,1,4,7,987196
4526,2013,1799,845,1,2,5,533060
7224,2020,1653,868,2,3,5,694286
19069,1991,1971,338,1,3,6,1214980
14445,1997,1303,756,3,4,8,991622
18790,1979,888,595,1,4,8,1129530
15536,1970,1075,435,1,3,6,953343
16157,2009,1786,1473,1,4,8,1166264
17547,1962,1131,376,3,5,9,1130600
5875,1950,1801,390,3,5,7,574949
5763,2014,1213,480,2,5,8,490090
12712,1982,1569,820,1,2,5,906134
9797,1987,1691,113,3,4,8,702574
13208,1974,1968,773,3,3,6,969786
11099,1975,1121,171,3,2,5,733786
19061,2008,545,17,2,3,7,1072435
9109,1982,1223,234,2,4,8,600286
10644,1990,1039,1333,2,4,7,855716
4116,1979,586,722,1,2,4,352123
6433,2006,1302,280,3,2,6,532158
9463,1998,1908,830,2,5,8,837020
4583,1997,764,1219,2,2,6,505779
12586,2021,1545,1138,3,5,8,961509
17375,1998,1202,1420,3,2,5,1206614
7788,1996,1973,417,1,5,7,680374
14960,2005,731,283,1,4,8,948990
8167,2014,685,584,1,3,5,565983
16052,1961,825,1351,2,4,8,1096493
12465,2018,1706,1364,2,5,7,983946
14205,1955,896,621,3,4,8,891977
17631,2014,1926,220,1,2,4,1129283
16625,1974,1986,8,3,2,4,1045038
5389,1950,1940,1105,1,3,7,580329
15758,1981,1725,831,1,3,5,1071397
16894,1952,1588,1317,1,4,6,1160738
12357,1998,1455,374,1,3,7,858478
13759,1968,1054,533,3,2,6,908487
10154,2009,1232,1438,3,2,5,831688
9420,1978,1540,1122,2,2,6,740855
12920,1999,1296,701,1,5,8,852701
19136,1951,1706,831,3,5,7,1255201
6043,2022,890,776,1,4,8,503639
8197,2005,543,1405,1,5,8,644315
7496,1966,1400,939,2,3,7,680940
17703,2009,981,446,2,2,5,1063403
4778,1985,1786,679,3,4,7,528591
4213,2010,1697,343,3,5,9,487580
7762,1966,1964,424,2,4,6,661302
17399,1998,1065,624,3,4,6,1115190
13768,2009,719,305,3,3,6,858411
14640,1969,1917,147,2,3,6,1016172
10731,1999,1271,848,1,3,5,782313
15128,1952,1718,731,1,4,8,1070519
7117,1992,908,453,2,4,8,558508
9791,2006,970,937,1,3,5,732660
19822,1999,1870,32,1,5,7,1191232
12783,2017,1985,1342,2,2,4,979165
17621,1999,1584,1216,3,3,6,1188550
17397,1986,665,1203,2,5,7,1116721
18427,1995,1171,983,2,4,6,1205334
6720,1991,1674,390,1,4,6,595391
12905,1964,610,356,2,5,7,791805
13127,1982,1048,572,1,5,9,881017
10047,1960,1526,463,2,4,8,768138
16529,1969,1536,929,3,4,6,1122483
18331,1973,1685,98,1,4,7,1142913
12032,2013,843,147,2,4,7,767180
4001,2014,1972,569,1,3,7,514476
10368,2022,831,726,2,4,7,742251
15040,1966,763,1339,2,4,7,1012281
18056,2010,582,1001,2,5,9,1112012
16236,1964,1276,1205,1,5,7,1103212
5949,2000,1423,302,1,5,7,513155
10732,1976,833,3,3,4,8,656619
18451,2010,1903,777,3,5,7,1269549
11833,2007,1742,106,3,4,6,823100
4917,1980,1157,74,3,4,8,427089
7174,1961,953,1063,2,5,9,601274
14433,1995,1172,638,1,2,6,924902
19525,1980,1240,694,2,3,6,1241756
11014,1981,1612,1142,1,3,7,893165
4089,1981,832,72,1,2,6,318212
5709,2002,809,551,2,2,6,486996
14361,2010,1226,1227,2,4,8,989721
16430,1995,1943,976,1,5,7,1138267
7041,1956,853,95,3,3,7,492428
4105,1953,1323,1302,3,3,7,492318
13078,2001,1623,1166,1,2,5,975612
12619,1980,644,1138,2,5,8,868900
17616,1985,1533,1499,2,3,5,1228551
5895,2003,1567,883,1,3,7,627994
10090,2003,1909,1156,2,4,8,874260
12508,1966,1409,1191,1,4,8,931720
10082,1979,1260,1268,1,4,7,805311
4634,1971,994,276,1,3,5,371980
5925,1992,1692,258,2,3,6,577854
6056,1976,1141,45,3,4,8,451122
10917,1986,1030,345,1,4,7,729851
7144,1995,1859,846,2,5,9,701086
19718,1984,1012,894,3,3,7,1251372
14462,1953,629,1260,1,3,7,931675
13631,1975,1507,1076,3,2,4,1002219
4552,1968,1773,1171,2,4,7,546433
19729,1994,1233,1113,3,4,8,1317658
12907,1975,1446,232,3,4,8,867391
9383,1971,1661,50,2,3,5,671615
7911,2007,1798,664,1,5,7,681093
13905,2012,1501,1417,2,3,7,1046598
18171,1977,963,1237,2,2,6,1135048
7389,2014,640,450,1,2,6,535345
13299,1993,1779,1362,1,5,9,1015007
17629,1992,1381,350,2,4,6,1133238
16398,1986,955,648,1,2,5,986151
12442,2015,933,1308,1,3,5,893340
6430,1966,672,877,2,2,4,522277
14246,1989,972,582,2,2,5,922644
4458,1987,1946,244,2,5,9,487665
17395,2010,1519,549,2,5,9,1114855
4207,1958,1416,727,3,3,6,462911
4899,2010,938,638,3,4,6,493883
15653,1965,1515,583,1,5,9,1073795
15577,1951,1580,225,3,5,8,982192
4021,2021,997,826,3,4,7,439890
12601,1992,668,440,3,2,5,758801
4894,1991,1488,1497,1,3,7,569532
4514,2006,1060,1467,3,3,6,527441
11294,2016,927,411,2,2,4,724389
8904,1979,918,813,2,4,6,700260
11867,1962,1870,245,1,4,7,861387
17161,1968,954,582,1,5,8,1056917
8109,1956,1213,499,1,4,7,606245
17258,1958,701,981,3,3,5,1096350
19313,2003,678,549,1,3,7,1109219
19349,2010,556,116,1,3,5,1082417
11179,1951,1445,1387,1,4,7,860345
14326,1999,1000,203,2,2,6,928169
15787,1980,1238,350,1,3,7,954986
15148,1982,611,318,2,3,6,889455
5560,1960,1671,1382,2,2,5,590409
17612,1982,1214,939,1,5,7,1155542
5266,1956,1901,488,1,4,6,548996
14361,1980,1376,106,3,3,5,906296
19506,1997,1871,653,1,4,7,1246955
7638,1996,1881,171,1,3,7,618183
12941,2002,1579,518,1,3,5,883392
7427,1968,1312,957,1,5,8,639931
8780,1955,1839,812,1,2,6,757995
5927,1998,1463,527,1,2,5,542976
15996,2022,1708,319,3,2,5,1079283
15894,1999,1577,1060,3,5,8,1128015
6356,1961,536,498,1,5,7,512371
8790,1972,1512,264,3,2,5,666030
14527,2003,1793,907,2,4,7,1066762
4306,2018,1362,401,3,4,7,483972
11979,2008,1231,986,2,5,7,882027
7665,1985,1751,601,1,4,7,663099
14181,1952,1951,951,2,2,5,1018453
11057,2007,1309,217,1,3,5,747910
4661,2004,1524,329,3,4,7,513818
8644,2006,522,185,2,2,6,572978
19711,1966,1971,1404,2,2,5,1371601
12503,1988,1295,208,2,2,5,835056
6920,2017,995,287,1,4,6,523551
13274,2004,1399,87,1,3,5,872463
15163,1994,924,1002,3,4,6,1010903
18025,1950,1199,135,3,2,4,1041981
12946,1970,517,157,1,2,6,777348
16322,1970,1968,793,3,2,5,1134114
16732,2001,1126,919,2,5,8,1122485
10236,1992,1562,154,2,4,8,728745
10078,2001,1733,1486,2,3,5,822297
17518,2016,710,219,3,4,7,1037143
4352,1993,1064,1482,2,2,6,478266
13094,1981,1471,1190,2,2,5,975207
17643,1959,1804,321,1,5,9,1127766
16080,2013,632,690,1,2,6,999477
11005,2018,948,840,3,4,7,804116
18036,2017,763,511,1,4,6,1058698
4158,1977,610,86,3,4,6,348995
14169,2002,1349,274,3,2,6,895158
4956,2000,1761,140,1,5,7,481758
6071,2002,1980,624,1,4,7,572271
12595,1953,1400,915,3,3,7,914151
19140,1966,1258,352,3,3,6,1172746
16803,2016,1360,1028,3,3,6,1146272
14971,1996,1396,381,2,4,6,961332
13579,2005,1361,1357,2,5,8,1039298
7453,1972,1696,474,1,2,6,634424
10675,1967,692,927,2,5,9,750430
4955,1950,1014,29,2,2,5,370433
10295,1984,1289,1370,3,2,5,823852
19921,2013,1467,921,2,2,6,1283443
5712,2007,1932,593,1,2,4,553181
19282,2008,583,492,2,4,6,1146062
8703,1950,1297,494,2,3,5,674436
19976,1952,579,387,2,4,7,1170181
10563,2016,1732,872,1,5,8,836476
13465,1986,1021,834,1,2,6,917095
19476,1978,1722,1276,3,4,8,1360778
19201,1982,733,629,2,4,8,1133208
9631,2010,743,938,3,4,8,697574
16003,1953,1916,29,3,2,4,1057281
14817,1963,1969,622,1,2,5,1012879
14574,1982,1348,806,3,2,5,979021
13633,1971,892,341,2,4,6,867577
15171,1997,508,1310,3,4,8,976731
13989,1952,1112,1420,1,5,9,979333
16582,1972,1306,1000,1,3,6,1054019
16201,2017,1214,243,1,3,7,984035
17042,1970,1676,220,2,2,5,1064550
5394,1992,609,1179,3,3,5,491095
16473,1975,1333,1406,2,2,5,1126448
13461,1990,765,1343,1,2,4,874764
8732,1987,1896,372,2,4,8,694368
17579,1960,1675,530,1,3,6,1154347
7714,1978,1475,214,2,5,9,613963
19596,2009,1454,366,2,2,6,1199252
4529,2016,1938,113,3,2,6,478242
15815,2014,1406,1223,3,5,8,1143154
18356,2010,1849,24,1,3,7,1149817
6958,1968,1171,933,3,5,8,596258
11904,1995,675,1144,3,3,7,824928
15106,1998,1024,610,2,3,5,943364
17081,1971,1838,857,1,3,6,1140998
7591,2006,1590,1026,2,3,5,706651
14339,1963,1451,897,2,3,5,1002345
10895,1993,1707,772,3,3,6,871132
16765,1965,1558,444,3,2,5,1085793
17910,1961,1004,1277,1,4,7,1126717
15561,2004,1348,19,3,2,6,946036
13131,2000,1462,1227,2,2,6,979931
4525,1988,1599,805,3,5,7,535085
10477,1982,971,1380,1,4,7,775366
4001,1982,1022,127,1,4,6,347703
4374,1978,1379,357,2,4,8,478695
14532,2018,1806,1315,2,3,5,1112731
19172,2019,773,1197,3,3,5,1251272
16197,1980,553,1378,1,3,6,1013365
15244,1980,1578,880,2,2,5,1080407
8648,1995,1387,1060,3,4,6,730196
6365,2001,1244,1333,3,4,8,672694
5525,1959,776,916,3,2,4,495316
18139,1990,1966,1107,2,3,7,1273819
16668,1952,1382,509,2,5,7,1081993
5646,2008,1941,443,3,4,6,590075
4013,2001,1131,1443,3,2,5,525018
8599,1983,1748,1228,2,3,5,752073
6278,1998,1069,778,1,2,6,530421
18296,1977,1778,1111,3,5,7,1282413
7155,1962,675,251,1,5,7,491127
12321,2018,1065,1054,1,3,7,866334
7814,2016,1669,420,2,2,4,654075
17125,2010,1270,60,2,3,5,1014969
7216,2009,1908,578,1,2,4,668022
15130,2020,761,1249,2,2,4,966921
16120,1973,1030,1358,1,5,9,1086200
14232,2012,1894,578,1,2,6,1012604
12219,2010,1390,639,2,2,6,863480
6113,1972,1720,110,2,5,9,530868
19522,1979,1447,490,3,4,6,1250492
13444,2009,1084,1295,2,4,8,954021
8356,1967,1314,33,3,4,6,641294
14238,2005,1807,211,2,4,7,966002
17760,2002,801,1323,2,2,4,1141094
9543,1956,1655,1396,2,4,6,838612
8555,2018,1643,124,2,4,8,658644
16215,2021,1659,1126,1,2,6,1132469
16588,2001,1127,1143,2,4,8,1123125
11062,1953,1072,893,1,4,7,755992
7374,1983,1028,330,2,3,5,561657
10430,2018,533,1332,2,4,7,734532
7466,1982,1031,411,1,3,5,551840
7081,2018,1731,1422,2,4,6,722619
15970,1987,1822,933,3,2,5,1098875
4629,1975,1617,1329,3,4,7,617378
4269,1950,1937,1186,2,5,7,574097
14831,1953,870,663,3,2,5,922696
14185,1988,908,1088,3,4,8,973089
9724,2003,1906,1239,3,4,6,916336
9897,1982,1964,602,3,2,6,781142
15083,1982,1970,25,1,5,8,1011409
17149,2021,1116,668,1,2,6,1058859
7432,1969,570,583,1,5,8,537246
13472,1965,583,1067,3,2,6,869917
10276,1970,708,1113,3,2,5,738628
19635,1994,758,1156,1,3,5,1214513
9895,2011,1762,1184,3,3,5,879051
17994,1980,1825,379,1,2,4,1119621
11115,1991,1755,1284,1,3,5,930943
10656,1961,1431,1406,1,4,7,811435
14552,2014,781,368,3,4,8,918253
4575,2022,893,1134,1,4,6,484257
11029,1952,917,1100,2,3,6,786123
